"Date","Game","Team","Opponent","Home","Win","PIR","OppPIR","TeamGroup","OppGroup"
2015-01-04,33,"BRK","MIA","0","0",76,108,1,2
2015-01-05,34,"BRK","DAL","1","0",93,108,1,2
2015-01-07,35,"BRK","BOS","1","0",95,86,1,3
2015-01-09,36,"BRK","PHI","1","0",96,99,1,1
2015-01-10,37,"BRK","DET","0","0",92,128,1,1
2015-01-12,38,"BRK","HOU","1","0",104,120,1,4
2015-01-14,39,"BRK","MEM","1","0",85,123,1,1
2015-01-16,40,"BRK","WAS","0","1",116,77,1,3
2015-01-17,41,"BRK","WAS","1","0",83,125,1,3
2015-01-21,42,"BRK","SAC","0","1",112,104,1,2
2015-01-22,43,"BRK","LAC","0","0",71,168,1,4
2015-01-24,44,"BRK","UTA","0","0",60,128,1,2
2015-01-28,45,"BRK","ATL","0","0",109,136,1,3
2015-01-30,46,"BRK","TOR","1","0",135,139,1,4
2015-02-02,47,"BRK","LAC","1","1",98,111,1,4
2015-02-04,48,"BRK","TOR","0","1",123,102,1,4
2015-02-06,49,"BRK","NYK","1","1",115,86,1,1
2015-02-07,50,"BRK","WAS","0","0",69,137,1,3
2015-02-09,51,"BRK","MIL","0","0",104,121,1,2
2015-02-10,52,"BRK","MEM","0","0",74,122,1,1
2015-02-20,53,"BRK","LAL","0","1",130,119,1,1
2015-02-23,54,"BRK","DEN","0","1",146,57,1,3
2015-02-25,55,"BRK","NOP","0","0",88,112,1,4
2015-02-27,56,"BRK","HOU","0","0",105,115,1,4
2015-02-28,57,"BRK","DAL","0","1",116,103,1,2
2015-03-02,58,"BRK","GSW","1","1",115,125,1,4
2015-03-04,59,"BRK","CHO","1","0",77,139,1,3
2015-03-06,60,"BRK","PHO","1","0",89,122,1,1
2015-03-08,61,"BRK","UTA","1","0",83,116,1,2
2015-03-10,62,"BRK","NOP","1","0",95,131,1,4
2015-03-11,63,"BRK","MIA","0","0",96,108,1,2
2015-03-14,64,"BRK","PHI","0","1",103,77,1,1
2015-03-16,65,"BRK","MIN","0","1",133,115,1,3
2015-03-18,66,"BRK","CLE","0","0",93,138,1,4
2015-03-20,67,"BRK","MIL","1","1",142,133,1,2
2015-03-21,68,"BRK","IND","0","1",147,109,1,2
2015-03-23,69,"BRK","BOS","1","0",98,122,1,3
2015-03-25,70,"BRK","CHO","0","1",109,93,1,3
2015-03-27,71,"BRK","CLE","1","1",114,103,1,4
2015-03-29,72,"BRK","LAL","1","1",138,105,1,1
2015-03-31,73,"BRK","IND","1","1",125,114,1,2
2015-04-01,74,"BRK","NYK","0","1",117,104,1,1
2015-04-03,75,"BRK","TOR","1","1",133,115,1,4
2015-04-04,76,"BRK","ATL","0","0",98,173,1,3
2015-04-06,77,"BRK","POR","1","1",134,93,1,3
2015-04-08,78,"BRK","ATL","1","0",129,140,1,3
2015-04-10,79,"BRK","WAS","1","1",140,85,1,3
2015-04-12,80,"BRK","MIL","0","0",63,125,1,2
2015-04-13,81,"BRK","CHI","1","0",73,138,1,2
2015-04-15,82,"BRK","ORL","1","1",122,78,1,1
2014-10-29,1,"CHO","MIL","1","1",118,113,3,2
2014-11-01,2,"CHO","MEM","1","0",79,58,3,1
2014-11-02,3,"CHO","NYK","0","0",113,89,3,1
2014-11-04,4,"CHO","NOP","0","0",96,124,3,4
2014-11-05,5,"CHO","MIA","1","1",111,83,3,2
2014-11-07,6,"CHO","ATL","1","1",142,111,3,3
2014-11-09,7,"CHO","LAL","0","0",91,122,3,1
2014-11-11,8,"CHO","POR","0","0",106,110,3,3
2014-11-14,9,"CHO","PHO","0","1",120,93,3,1
2014-11-15,10,"CHO","GSW","0","0",82,130,3,4
2014-11-17,11,"CHO","DAL","1","0",72,143,3,2
2014-11-19,12,"CHO","IND","0","0",87,100,3,2
2014-11-21,13,"CHO","ORL","1","0",100,111,3,1
2014-11-23,14,"CHO","MIA","0","0",89,109,3,2
2014-11-24,15,"CHO","LAC","1","0",105,124,3,4
2014-11-26,16,"CHO","POR","1","0",108,118,3,3
2014-11-28,17,"CHO","GSW","1","0",122,105,3,4
2014-11-29,18,"CHO","ATL","0","0",61,138,3,3
2014-12-03,19,"CHO","CHI","1","0",97,124,3,2
2014-12-05,20,"CHO","NYK","1","1",113,108,3,1
2014-12-10,21,"CHO","BOS","1","1",113,79,3,3
2014-12-12,22,"CHO","MEM","0","0",96,118,3,1
2014-12-13,23,"CHO","BRK","1","0",81,136,3,1
2014-12-15,24,"CHO","CLE","0","0",89,118,3,4
2014-12-17,25,"CHO","PHO","1","0",106,133,3,1
2014-12-19,26,"CHO","PHI","0","1",107,99,3,1
2014-12-20,27,"CHO","UTA","1","1",126,83,3,2
2014-12-22,28,"CHO","DEN","1","1",127,65,3,3
2014-12-23,29,"CHO","MIL","0","1",115,102,3,2
2014-12-26,30,"CHO","OKC","0","0",61,116,3,4
2014-12-27,31,"CHO","ORL","1","0",94,110,3,1
2014-12-29,32,"CHO","MIL","1","0",100,104,3,2
2014-12-31,33,"CHO","HOU","0","0",88,96,3,4
2015-01-02,34,"CHO","CLE","1","0",84,91,3,4
2015-01-03,35,"CHO","ORL","0","1",116,89,3,1
2015-01-05,36,"CHO","BOS","0","1",124,86,3,3
2015-01-07,37,"CHO","NOP","1","1",101,98,3,4
2015-01-08,38,"CHO","TOR","0","1",113,90,3,4
2015-01-10,39,"CHO","NYK","0","1",136,61,3,1
2015-01-14,40,"CHO","SAS","1","0",93,102,3,4
2015-01-17,41,"CHO","IND","1","1",77,71,3,2
2015-01-19,42,"CHO","MIN","1","1",119,77,3,3
2015-01-21,43,"CHO","MIA","1","1",85,68,3,2
2015-01-23,44,"CHO","CLE","0","0",90,164,3,4
2015-01-24,45,"CHO","NYK","1","1",76,59,3,1
2015-01-28,46,"CHO","SAS","0","0",89,116,3,4
2015-01-31,47,"CHO","DEN","0","1",139,73,3,3
2015-02-02,48,"CHO","WAS","0","1",108,89,3,3
2015-02-05,49,"CHO","WAS","1","1",119,63,3,3
2015-02-07,50,"CHO","PHI","0","0",89,91,3,1
2015-02-08,51,"CHO","IND","1","0",113,100,3,2
2015-02-10,52,"CHO","DET","1","0",73,125,3,1
2015-02-21,53,"CHO","OKC","1","0",120,120,3,4
2015-02-22,54,"CHO","DAL","0","0",75,115,3,2
2015-02-25,55,"CHO","CHI","0","1",99,105,3,2
2015-02-27,56,"CHO","BOS","0","0",108,119,3,3
2015-03-01,57,"CHO","ORL","0","1",115,78,3,1
2015-03-03,58,"CHO","LAL","1","1",130,109,3,1
2015-03-04,59,"CHO","BRK","0","1",139,77,3,1
2015-03-06,60,"CHO","TOR","1","1",129,88,3,4
2015-03-08,61,"CHO","DET","0","1",133,109,3,1
2015-03-09,62,"CHO","WAS","1","0",63,109,3,3
2015-03-11,63,"CHO","SAC","1","0",117,117,3,2
2015-03-13,64,"CHO","CHI","1","1",111,74,3,2
2015-03-16,65,"CHO","UTA","0","0",58,106,3,2
2015-03-17,66,"CHO","LAC","0","0",98,109,3,4
2015-03-20,67,"CHO","SAC","0","0",81,106,3,2
2015-03-22,68,"CHO","MIN","0","1",129,106,3,3
2015-03-23,69,"CHO","CHI","0","0",77,115,3,2
2015-03-25,70,"CHO","BRK","1","0",93,109,3,1
2015-03-27,71,"CHO","WAS","0","0",128,111,3,3
2015-03-28,72,"CHO","ATL","1","1",143,109,3,3
2015-03-30,73,"CHO","BOS","1","0",119,127,3,3
2015-04-01,74,"CHO","DET","1","1",126,77,3,1
2015-04-03,75,"CHO","IND","0","0",73,101,3,2
2015-04-04,76,"CHO","PHI","1","1",85,81,3,1
2015-04-07,77,"CHO","MIA","0","0",90,123,3,2
2015-04-08,78,"CHO","TOR","1","0",64,106,3,4
2015-04-10,79,"CHO","ATL","0","0",85,129,3,3
2015-04-12,80,"CHO","DET","0","0",71,144,3,1
2015-04-13,81,"CHO","HOU","1","0",88,116,3,4
2015-04-15,82,"CHO","TOR","0","0",98,103,3,4
2014-10-29,1,"CHI","NYK","0","1",129,76,2,1
2014-10-31,2,"CHI","CLE","1","0",107,116,2,4
2014-11-01,3,"CHI","MIN","0","1",112,110,2,3
2014-11-04,4,"CHI","ORL","1","1",120,91,2,1
2014-11-05,5,"CHI","MIL","0","1",116,82,2,2
2014-11-07,6,"CHI","PHI","0","1",136,113,2,1
2014-11-08,7,"CHI","BOS","1","0",106,126,2,3
2014-11-10,8,"CHI","DET","1","1",121,87,2,1
2014-11-13,9,"CHI","TOR","0","1",122,75,2,4
2014-11-15,10,"CHI","IND","1","0",84,103,2,2
2014-11-17,11,"CHI","LAC","0","1",122,88,2,4
2014-11-20,12,"CHI","SAC","0","0",87,126,2,2
2014-11-21,13,"CHI","POR","0","0",80,126,2,3
2014-11-24,14,"CHI","UTA","0","1",105,105,2,2
2014-11-25,15,"CHI","DEN","0","0",111,123,2,3
2014-11-28,16,"CHI","BOS","0","1",131,76,2,3
2014-11-30,17,"CHI","BRK","0","1",122,67,2,1
2014-12-02,18,"CHI","DAL","1","0",149,138,2,2
2014-12-03,19,"CHI","CHO","0","1",124,97,2,3
2014-12-06,20,"CHI","GSW","1","0",104,133,2,4
2014-12-10,21,"CHI","BRK","1","1",136,61,2,1
2014-12-12,22,"CHI","POR","1","1",132,104,2,3
2014-12-14,23,"CHI","MIA","0","1",109,65,2,2
2014-12-15,24,"CHI","ATL","0","0",87,111,2,3
2014-12-18,25,"CHI","NYK","1","1",117,91,2,1
2014-12-19,26,"CHI","MEM","0","1",123,90,2,1
2014-12-22,27,"CHI","TOR","1","1",161,90,2,4
2014-12-23,28,"CHI","WAS","0","1",117,90,2,3
2014-12-25,29,"CHI","LAL","1","1",143,86,2,1
2014-12-27,30,"CHI","NOP","1","1",115,100,2,4
2014-12-29,31,"CHI","IND","0","1",102,81,2,2
2014-12-30,32,"CHI","BRK","1","0",90,107,2,1
2015-01-01,33,"CHI","DEN","1","1",137,90,2,3
2015-01-03,34,"CHI","BOS","1","1",124,90,2,3
2015-01-05,35,"CHI","HOU","1","1",152,89,2,4
2015-01-07,36,"CHI","UTA","1","0",63,115,2,2
2015-01-09,37,"CHI","WAS","0","0",87,117,2,3
2015-01-10,38,"CHI","MIL","1","1",108,91,2,2
2015-01-12,39,"CHI","ORL","1","0",129,132,2,1
2015-01-14,40,"CHI","WAS","1","0",101,119,2,3
2015-01-16,41,"CHI","BOS","0","1",149,120,2,3
2015-01-17,42,"CHI","ATL","1","0",108,134,2,3
2015-01-19,43,"CHI","CLE","0","0",95,111,2,4
2015-01-22,44,"CHI","SAS","1","1",131,64,2,4
2015-01-23,45,"CHI","DAL","0","1",110,104,2,2
