"Date","Game","Team","Opponent","Home","Win","FieldGoals.","X3PointShots.","FreeThrows.","OffRebounds","TotalRebounds","Assists","Steals","Blocks","Turnovers","TotalFouls","Opp.FieldGoals.","Opp.3PointShots.","Opp.FreeThrows.","Opp.OffRebounds","Opp.TotalRebounds","Opp.Assists","Opp.Steals","Opp.Blocks","Opp.Turnovers","Opp.TotalFouls","TeamGroup","OppGroup"
2015-01-12,36,"BOS","NOP","1","1",0.42,0.333,0.839,17,44,24,8,5,11,23,0.413,0.4,0.865,16,45,20,7,6,18,23,3,4
2015-01-14,37,"BOS","ATL","1","0",0.41,0.333,0.857,13,40,22,5,2,16,23,0.493,0.345,0.852,6,35,23,13,7,12,12,3,3
2015-01-16,38,"BOS","CHI","1","0",0.494,0.313,0.875,11,45,29,5,4,13,16,0.539,0.52,0.833,8,36,28,12,6,7,14,3,2
2015-01-19,39,"BOS","LAC","0","0",0.393,0.414,0.714,12,43,24,6,2,13,14,0.476,0.429,0.789,10,44,27,6,10,11,14,3,4
2015-01-22,40,"BOS","POR","0","1",0.448,0.368,0.714,10,47,23,8,5,16,19,0.371,0.321,0.737,13,45,16,8,6,10,13,3,3
2015-01-23,41,"BOS","DEN","0","1",0.493,0.429,0.63,8,41,20,8,6,14,24,0.416,0.286,0.731,17,48,20,8,2,12,19,3,3
2015-01-25,42,"BOS","GSW","0","0",0.432,0.357,0.704,13,48,23,5,3,14,21,0.472,0.348,0.88,9,47,29,9,3,13,20,3,4
2015-01-28,44,"BOS","MIN","0","0",0.462,0.304,0.778,9,39,22,9,4,13,22,0.494,0.375,0.875,6,45,18,6,4,11,11,3,3
2015-01-30,45,"BOS","HOU","1","0",0.356,0.292,0.696,14,48,14,8,5,11,23,0.417,0.267,0.75,12,50,22,6,4,16,18,3,4
2015-02-04,48,"BOS","DEN","1","1",0.404,0.429,0.706,19,51,27,10,3,13,21,0.413,0.167,0.909,14,48,18,9,6,15,19,3,3
2015-02-06,49,"BOS","PHI","1","1",0.453,0.37,0.76,11,53,27,8,4,10,24,0.443,0.44,0.484,11,44,22,6,3,17,19,3,1
2015-02-07,50,"BOS","MIL","0","0",0.419,0.241,0.7,11,44,20,7,1,11,19,0.493,0.4,0.737,6,40,21,6,6,12,20,3,2
2015-02-20,52,"BOS","SAC","0","0",0.4,0.273,0.577,19,40,24,14,3,11,23,0.482,0.364,0.808,17,57,26,6,5,24,19,3,2
2015-02-22,53,"BOS","LAL","0","0",0.429,0.242,0.704,13,48,27,9,5,16,31,0.512,0.389,0.658,6,46,22,8,4,17,27,3,1
2015-02-23,54,"BOS","PHO","0","1",0.438,0.483,0.767,9,42,26,13,1,15,14,0.454,0.281,0.813,15,50,25,9,7,17,24,3,1
2015-02-27,56,"BOS","CHO","1","1",0.417,0.4,0.8,14,47,24,8,5,8,15,0.451,0.476,0.824,8,48,19,8,7,16,18,3,3
2015-03-01,57,"BOS","GSW","1","0",0.367,0.258,0.765,21,60,21,4,3,8,17,0.421,0.353,0.824,15,55,19,4,8,10,18,3,4
2015-03-03,58,"BOS","CLE","0","0",0.352,0.25,0.769,11,42,23,4,3,14,21,0.483,0.357,1,12,52,28,10,6,11,18,3,4
2015-03-04,59,"BOS","UTA","1","1",0.375,0.296,0.55,12,39,21,5,3,3,20,0.453,0.158,0.619,11,51,21,1,4,13,19,3,2
2015-03-11,63,"BOS","MEM","1","1",0.435,0.296,0.765,12,36,28,11,5,16,16,0.474,0.417,1,10,41,21,11,4,21,19,3,1
2015-03-13,64,"BOS","ORL","1","1",0.43,0.385,0.55,10,47,19,7,4,16,23,0.425,0.3,0.5,10,50,20,9,4,19,21,3,1
2015-03-14,65,"BOS","IND","0","1",0.422,0.286,0.714,9,47,28,7,4,11,18,0.4,0.375,0.8,9,42,16,4,3,14,23,3,2
2015-03-20,68,"BOS","SAS","0","0",0.398,0.25,0.7,14,47,19,10,2,15,19,0.469,0.217,0.87,7,45,31,11,4,13,14,3,4
2015-03-23,70,"BOS","BRK","0","1",0.511,0.273,0.714,8,47,25,7,4,9,21,0.36,0.059,0.867,16,48,15,7,5,11,13,3,1
2015-03-25,71,"BOS","MIA","1","0",0.406,0.263,0.676,10,43,16,8,4,16,25,0.442,0.375,0.696,8,38,23,7,6,16,28,3,2
2015-03-27,72,"BOS","NYK","0","1",0.42,0.2,0.791,9,44,18,6,1,16,17,0.437,0.292,0.643,9,36,23,9,2,12,31,3,1
2015-03-29,73,"BOS","LAC","1","0",0.419,0.258,0.87,9,40,29,8,1,10,32,0.488,0.406,0.6,13,53,28,5,5,12,21,3,4
2015-04-01,75,"BOS","IND","1","1",0.453,0.222,0.889,7,46,29,9,2,10,23,0.42,0.4,0.565,8,39,17,5,3,12,20,3,2
2015-04-03,76,"BOS","MIL","1","0",0.443,0.333,0.938,9,41,19,7,2,16,20,0.529,0.375,0.611,9,45,31,10,6,18,20,3,2
2015-04-08,78,"BOS","DET","0","1",0.45,0.286,0.971,10,37,20,12,2,11,15,0.536,0.389,0.6,11,41,29,7,5,19,25,3,1
2015-04-10,79,"BOS","CLE","0","1",0.452,0.364,0.714,11,43,30,11,2,14,24,0.416,0.265,0.68,12,42,25,4,2,20,21,3,4
2014-10-29,1,"BRK","BOS","0","0",0.488,0.368,0.769,9,39,20,6,7,20,21,0.557,0.364,0.652,9,35,28,11,5,12,25,1,3
2014-11-01,2,"BRK","DET","0","1",0.483,0.269,0.846,12,48,18,3,3,8,23,0.421,0.059,0.714,10,41,21,3,3,7,15,1,1
2014-11-03,3,"BRK","OKC","1","1",0.524,0.478,0.895,9,42,25,11,3,8,21,0.39,0.348,0.619,15,44,14,3,3,17,17,1,4
2014-11-05,4,"BRK","MIN","1","0",0.439,0.381,0.647,7,42,17,6,5,18,22,0.411,0.412,0.773,13,51,22,9,4,11,21,1,3
2014-11-07,5,"BRK","NYK","1","1",0.514,0.583,0.769,7,42,18,6,6,16,24,0.411,0.421,0.81,15,43,22,7,2,14,24,1,1
2014-11-09,6,"BRK","ORL","1","1",0.482,0.286,0.87,14,45,23,10,5,14,21,0.52,0.533,0.625,5,31,25,7,2,17,24,1,1
2014-11-12,7,"BRK","PHO","0","0",0.473,0.429,0.781,8,37,17,9,4,19,25,0.481,0.333,0.897,12,44,20,10,2,20,22,1,1
2014-11-13,8,"BRK","GSW","0","0",0.438,0.188,0.9,7,41,19,5,2,12,22,0.456,0.324,0.667,14,45,30,7,10,10,16,1,4
2014-11-17,10,"BRK","MIA","1","0",0.414,0.391,0.615,11,35,18,10,5,12,19,0.431,0.333,0.889,10,41,19,6,2,14,24,1,2
2014-11-19,11,"BRK","MIL","1","0",0.478,0.29,0.724,10,49,26,7,6,20,25,0.444,0.208,0.75,16,51,23,12,4,13,28,1,2
2014-11-22,13,"BRK","SAS","0","0",0.374,0.333,1,13,44,24,5,5,11,14,0.519,0.381,0.818,6,48,29,7,9,14,9,1,4
2014-11-30,15,"BRK","CHI","1","0",0.372,0.143,0.75,7,34,16,9,0,10,25,0.493,0.292,0.794,7,50,19,6,5,19,24,1,2
2014-12-02,16,"BRK","NYK","0","1",0.438,0.353,0.7,21,49,22,7,5,14,20,0.432,0.393,0.857,13,40,22,8,3,14,21,1,1
2014-12-05,18,"BRK","ATL","1","0",0.375,0.167,0.632,9,51,16,4,2,17,21,0.432,0.382,0.625,6,46,22,12,4,10,22,1,3
2014-12-08,19,"BRK","CLE","1","0",0.444,0.211,0.632,10,33,25,6,2,12,18,0.478,0.36,0.682,20,55,25,10,5,13,17,1,4
2014-12-10,20,"BRK","CHI","0","0",0.33,0.214,0.792,15,44,16,9,5,11,25,0.468,0.364,0.719,15,57,21,6,11,15,18,1,2
2014-12-12,21,"BRK","PHI","1","1",0.444,0.25,0.647,13,47,25,16,5,17,15,0.319,0.393,0.75,10,37,18,10,4,23,20,1,1
2014-12-16,23,"BRK","MIA","1","0",0.39,0.286,0.719,11,37,25,9,2,17,26,0.458,0.375,0.769,7,41,20,9,2,18,23,1,2
2014-12-17,24,"BRK","TOR","0","0",0.432,0.333,0.455,14,43,20,3,8,13,16,0.513,0.5,0.684,11,42,24,6,4,9,21,1,4
2014-12-21,26,"BRK","DET","1","1",0.526,0.4,0.759,3,37,29,9,4,15,18,0.44,0.333,0.615,18,50,26,10,6,13,22,1,1
2014-12-23,27,"BRK","DEN","1","1",0.473,0.261,0.714,12,39,21,10,3,9,19,0.439,0.28,0.773,14,51,15,4,4,18,15,1,3
2014-12-26,28,"BRK","BOS","0","1",0.494,0.333,0.714,13,43,19,9,3,15,10,0.517,0.375,0.727,5,37,32,8,3,14,23,1,3
2014-12-29,30,"BRK","SAC","1","1",0.45,0.381,0.692,14,40,20,12,3,9,18,0.487,0.45,0.8,11,44,22,5,3,21,26,1,2
2014-12-30,31,"BRK","CHI","0","1",0.434,0.429,0.857,10,46,21,9,5,10,17,0.384,0.32,0.533,13,48,22,5,11,12,18,1,2
2015-01-02,32,"BRK","ORL","0","1",0.569,0.35,0.611,4,45,26,7,5,22,16,0.42,0.5,0.65,8,37,22,13,3,11,18,1,1
2015-01-04,33,"BRK","MIA","0","0",0.395,0.292,0.692,10,38,18,9,6,11,23,0.463,0.357,0.75,8,42,21,8,9,14,20,1,2
2015-01-05,34,"BRK","DAL","1","0",0.393,0.12,0.826,7,52,20,5,7,14,21,0.394,0.37,0.632,14,51,24,8,6,10,17,1,2
2015-01-07,35,"BRK","BOS","1","0",0.405,0.214,0.692,11,50,18,3,6,17,18,0.398,0.278,0.824,11,41,22,8,2,6,26,1,3
2015-01-09,36,"BRK","PHI","1","0",0.452,0.188,0.704,9,42,21,8,3,17,19,0.456,0.471,0.588,11,38,22,15,4,14,22,1,1
2015-01-10,37,"BRK","DET","0","0",0.42,0.29,1,9,46,25,6,2,13,23,0.425,0.333,0.731,9,44,27,8,3,10,10,1,1
2015-01-12,38,"BRK","HOU","1","0",0.464,0.238,0.889,11,41,18,7,4,16,18,0.477,0.4,0.75,12,42,22,9,2,14,18,1,4
2015-01-14,39,"BRK","MEM","1","0",0.48,0.385,0.833,6,36,19,5,1,18,25,0.47,0.176,0.759,14,41,18,13,3,9,19,1,1
2015-01-16,40,"BRK","WAS","0","1",0.457,0.333,0.774,8,39,18,12,4,10,19,0.425,0.235,0.875,8,37,23,6,5,19,26,1,3
2015-01-17,41,"BRK","WAS","1","0",0.439,0.235,0.778,11,40,17,6,0,10,20,0.519,0.313,0.519,13,49,23,7,5,13,15,1,3
2015-01-21,42,"BRK","SAC","0","1",0.468,0.25,0.8,10,43,22,7,6,14,24,0.464,0.278,0.708,10,42,22,5,2,14,19,1,2
2015-01-22,43,"BRK","LAC","0","0",0.375,0.19,0.56,15,40,17,11,3,12,14,0.59,0.44,0.667,9,48,41,8,9,14,17,1,4
