"Date","Game","Team","Opponent","Home","Win","PIR","OppPIR","TeamGroup","OppGroup"
2015-03-10,66,"CLE","DAL","0","1",146,93,4,2
2015-03-12,67,"CLE","SAS","0","1",126,144,4,4
2015-03-20,71,"CLE","IND","1","1",105,101,4,2
2015-03-25,73,"CLE","MEM","0","1",131,91,4,1
2015-03-27,74,"CLE","BRK","0","0",103,114,4,1
2015-03-29,75,"CLE","PHI","1","1",100,79,4,1
2015-04-05,77,"CLE","CHI","1","1",112,103,4,2
2015-04-08,78,"CLE","MIL","0","1",125,109,4,2
2015-04-10,79,"CLE","BOS","1","0",91,114,4,3
2015-04-13,81,"CLE","DET","1","1",123,101,4,1
2014-11-01,3,"DAL","NOP","0","1",115,116,2,4
2014-11-03,4,"DAL","BOS","1","1",131,115,2,3
2014-11-06,5,"DAL","POR","0","0",79,130,2,3
2014-11-07,6,"DAL","UTA","0","1",118,90,2,2
2014-11-09,7,"DAL","MIA","1","0",111,114,2,2
2014-11-11,8,"DAL","SAC","1","1",123,86,2,2
2014-11-13,9,"DAL","PHI","1","1",161,35,2,1
2014-11-17,11,"DAL","CHO","0","1",143,72,2,3
2014-11-19,12,"DAL","WAS","0","1",118,104,2,3
2014-11-22,14,"DAL","HOU","0","0",98,89,2,4
2014-11-24,15,"DAL","IND","1","0",98,122,2,2
2014-11-29,18,"DAL","PHI","0","1",127,110,2,1
2014-12-02,19,"DAL","CHI","0","1",138,149,2,2
2014-12-05,21,"DAL","PHO","1","0",108,134,2,1
2014-12-07,22,"DAL","MIL","1","1",162,92,2,2
2014-12-10,24,"DAL","NOP","1","1",118,106,2,4
2014-12-16,26,"DAL","NYK","0","1",127,97,2,1
2014-12-17,27,"DAL","DET","0","1",151,101,2,1
2014-12-22,29,"DAL","ATL","1","0",108,116,2,3
2014-12-23,30,"DAL","PHO","0","0",115,139,2,1
2014-12-26,31,"DAL","LAL","1","1",108,103,2,1
2014-12-30,33,"DAL","WAS","1","1",131,83,2,3
2015-01-02,34,"DAL","BOS","0","1",139,99,2,3
2015-01-04,35,"DAL","CLE","0","1",135,93,2,4
2015-01-05,36,"DAL","BRK","0","1",108,93,2,1
2015-01-07,37,"DAL","DET","1","0",107,124,2,1
2015-01-10,38,"DAL","LAC","0","0",105,152,2,4
2015-01-14,40,"DAL","DEN","0","0",105,134,2,3
2015-01-16,41,"DAL","DEN","1","1",115,90,2,3
2015-01-19,42,"DAL","MEM","0","1",105,98,2,1
2015-01-21,43,"DAL","MIN","0","1",120,74,2,3
2015-01-23,44,"DAL","CHI","1","0",104,110,2,2
2015-01-25,45,"DAL","NOP","0","0",121,124,2,4
2015-01-27,46,"DAL","MEM","1","0",94,123,2,1
2015-01-28,47,"DAL","HOU","0","0",97,100,2,4
